,Tijd,Type,Klasse,Waarde,ID,Omschrijving,Status,Prioriteit,Comment,Tijd_Came,Tijd_Went,Tijd_ack,UUID,DPE,seconden
236,2015-12-02 19:42:52.203,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449085372
357,2015-12-02 19:41:39.072,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449085299
380,2015-12-02 19:41:36.893,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449085296
388,2015-12-02 19:41:36.822,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,40,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449085296
505,2015-12-02 19:39:32.183,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449085172
614,2015-12-02 19:38:10.076,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449085090
619,2015-12-02 19:38:10.076,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449085090
641,2015-12-02 19:38:09.922,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,40,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449085089
976,2015-12-02 17:53:08.081,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449078788
1092,2015-12-02 17:51:56.338,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449078716
1102,2015-12-02 17:51:54.176,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449078714
1123,2015-12-02 17:51:54.025,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449078714
1242,2015-12-02 17:50:39.084,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449078639
1347,2015-12-02 17:49:19.302,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449078559
1369,2015-12-02 17:49:17.184,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449078557
1376,2015-12-02 17:49:17.069,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449078557
1711,2015-12-02 16:52:14.782,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449075134
1826,2015-12-02 16:51:02.866,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449075062
1845,2015-12-02 16:51:00.887,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449075060
1854,2015-12-02 16:51:00.786,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449075060
1926,2015-12-02 16:47:17.583,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449074837
2031,2015-12-02 16:45:58.135,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449074758
2039,2015-12-02 16:45:55.982,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449074755
2059,2015-12-02 16:45:55.823,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449074755
2501,2015-12-02 15:53:43.888,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449071623
2617,2015-12-02 15:52:32.169,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449071552
2636,2015-12-02 15:52:29.990,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449071549
2648,2015-12-02 15:52:29.810,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449071549
2764,2015-12-02 15:50:47.886,PROCES,,FALSE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449071447
2871,2015-12-02 15:49:28.352,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449071368
2894,2015-12-02 15:49:26.180,PROCES,,TRUE,,Brug Beweging Actief,,,,,,,0,DB_A11-Brug-S.Status.BewR,1449071366
2901,2015-12-02 15:49:26.081,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,,39,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449071366
