Dag;Tijd
4;306.611
5;285.604
6;368.675
6;286.394
6;297.106
7;306.105
7;303.11
7;244.404
8;337.386
8;294.484
8;346.272
11;206.8
12;301.712
13;103.306
13;691.618
13;261.294
13;452.685
13;334.799
14;5775.994
14;207.088
14;253.885
15;268.89
15;300.2
15;275.595
15;474.512
16;273.58
16;231.826
17;299.006
17;245.291
19;352.004
19;279.876
19;322.098
20;313.613
21;401.901
21;457.215
21;290.993
22;268.605
22;299.318
24;302.814
24;292.994
25;365.609
25;288.306
25;518.697
26;305.006
26;264.796
26;432.018
26;153.794
26;165.399
26;366.369
26;359.805
26;315.006
27;268.379
27;315.391
27;246.707
27;324.683
27;299.5
27;274.891
27;274.402
28;334.405
28;247.405
28;260.985
28;302.008
29;278.203
29;223.496
29.5;277.183
30;321.573
30;253.3
31;275.689
