,duur,beweging,time
0,76,True,2015-12-02 19:41:36.893
1,82,False,2015-12-02 19:38:10.076
2,74,True,2015-12-02 17:51:54.176
3,82,False,2015-12-02 17:49:17.184
4,74,True,2015-12-02 16:51:00.887
5,82,False,2015-12-02 16:45:55.982
6,74,True,2015-12-02 15:52:29.990
7,81,False,2015-12-02 15:49:26.180
8,73,True,2015-12-02 14:17:07.083
9,82,False,2015-12-02 14:13:22.894
10,74,True,2015-12-02 14:04:21.884
11,81,False,2015-12-02 14:01:10.084
12,74,True,2015-12-02 13:46:39.376
13,82,False,2015-12-02 13:42:38.791
14,78,True,2015-12-02 11:15:37.896
15,82,False,2015-12-02 11:11:32.694
16,75,True,2015-12-02 08:18:33.788
17,82,False,2015-12-02 08:14:43.791
18,75,True,2015-12-02 06:11:46.000
19,82,False,2015-12-02 06:06:31.389
20,79,True,2015-12-03 21:12:06.481
21,83,False,2015-12-03 21:08:25.874
22,78,True,2015-12-03 19:05:59.578
23,83,False,2015-12-03 19:02:56.799
24,74,True,2015-12-03 17:32:11.188
25,82,False,2015-12-03 17:27:46.792
26,80,True,2015-12-03 16:51:34.882
27,83,False,2015-12-03 16:47:09.978
28,74,True,2015-12-03 13:48:08.276
29,82,False,2015-12-03 13:45:05.576
30,75,True,2015-12-03 12:28:02.799
31,81,False,2015-12-03 12:25:14.190
32,80,True,2015-12-03 11:20:33.797
33,83,False,2015-12-03 11:13:32.082
34,80,True,2015-12-04 12:18:29.200
35,83,False,2015-12-04 12:15:34.785
36,86,True,2015-12-05 07:28:47.200
37,84,False,2015-12-05 07:20:02.096
38,74,True,2015-12-07 15:56:33.593
39,81,False,2015-12-07 15:54:06.090
40,74,True,2015-12-07 14:20:22.201
41,81,False,2015-12-07 14:17:44.990
42,74,True,2015-12-07 13:58:34.598
43,81,False,2015-12-07 13:56:08.593
44,82,True,2015-12-07 13:14:58.086
45,83,False,2015-12-07 13:11:18.979
46,74,True,2015-12-08 12:37:14.384
47,81,False,2015-12-08 12:32:58.175
48,74,True,2015-12-08 12:19:48.385
49,81,False,2015-12-08 12:16:47.082
50,79,True,2015-12-08 10:49:23.283
51,82,False,2015-12-08 10:44:28.078
52,83,True,2015-12-08 08:16:11.277
53,84,False,2015-12-08 08:11:58.777
54,82,True,2015-12-08 00:58:15.792
55,83,False,2015-12-08 00:52:02.595
56,81,True,2015-12-09 21:44:48.780
57,84,False,2015-12-09 21:41:41.286
58,82,True,2015-12-09 18:53:11.197
59,84,False,2015-12-09 18:42:24.690
60,74,True,2015-12-09 13:57:49.878
61,82,False,2015-12-09 13:53:13.983
62,77,True,2015-12-09 13:50:17.289
63,83,False,2015-12-09 13:47:17.479
64,74,True,2015-12-09 12:08:39.088
65,82,False,2015-12-09 12:02:54.080
66,74,True,2015-12-09 11:01:31.088
67,82,False,2015-12-09 10:55:09.277
68,79,True,2015-12-09 10:39:22.279
69,84,False,2015-12-09 10:36:18.976
70,84,True,2015-12-09 08:12:58.083
71,85,False,2015-12-09 08:09:54.282
72,80,True,2015-12-10 19:22:55.080
73,84,False,2015-12-10 19:19:47.176
74,75,True,2015-12-10 15:31:16.985
75,83,False,2015-12-10 15:27:52.781
76,75,True,2015-12-10 14:36:34.793
77,82,False,2015-12-10 14:30:19.887
78,75,True,2015-12-10 14:16:12.989
79,83,False,2015-12-10 14:13:30.697
80,75,True,2015-12-10 12:30:52.778
81,83,False,2015-12-10 12:28:37.685
82,76,True,2015-12-10 11:56:41.980
83,83,False,2015-12-10 11:53:01.480
84,75,True,2015-12-10 11:28:40.679
85,83,False,2015-12-10 11:26:58.082
86,82,True,2015-12-10 10:40:09.091
87,85,False,2015-12-10 10:38:06.489
88,86,True,2015-12-10 07:00:04.688
89,86,False,2015-12-10 06:56:40.583
90,79,True,2015-12-11 16:33:46.584
91,84,False,2015-12-11 16:30:59.579
92,75,True,2015-12-11 11:27:55.789
93,83,False,2015-12-11 11:24:25.891
94,76,True,2015-12-11 11:01:06.990
95,84,False,2015-12-11 10:58:57.694
96,79,True,2015-12-11 09:41:25.276
97,84,False,2015-12-11 09:37:11.987
98,86,True,2015-12-11 08:47:27.997
99,86,False,2015-12-11 08:41:37.676
100,85,True,2015-12-12 12:17:45.883
101,85,False,2015-12-12 12:15:16.685
102,77,True,2015-12-14 17:20:46.082
103,83,False,2015-12-14 17:17:24.580
104,74,True,2015-12-14 15:20:26.673
105,82,False,2015-12-14 15:17:16.880
106,74,True,2015-12-14 15:02:01.178
107,82,False,2015-12-14 14:58:39.279
108,78,True,2015-12-14 13:48:00.980
109,82,False,2015-12-14 13:44:30.095
110,78,True,2015-12-14 11:40:18.996
111,83,False,2015-12-14 11:37:36.000
112,79,True,2015-12-14 07:59:40.583
113,84,False,2015-12-14 07:56:21.384
114,79,True,2015-12-15 17:52:12.993
115,83,False,2015-12-15 17:43:16.886
116,74,True,2015-12-15 15:35:08.678
117,81,False,2015-12-15 15:32:37.579
118,74,True,2015-12-15 15:21:54.580
119,82,False,2015-12-15 15:19:21.685
120,75,True,2015-12-15 14:12:53.584
121,82,False,2015-12-15 14:09:05.481
122,74,True,2015-12-15 13:38:20.578
123,82,False,2015-12-15 13:34:48.285
124,75,True,2015-12-15 11:39:41.984
125,82,False,2015-12-15 11:36:00.499
126,8,False,2015-12-15 11:35:29.594
127,78,True,2015-12-15 10:58:38.892
128,83,False,2015-12-15 10:56:09.596
129,79,True,2015-12-15 09:17:17.600
130,84,False,2015-12-15 09:13:14.379
131,76,True,2015-12-15 07:30:42.297
132,83,False,2015-12-15 07:26:45.093
133,82,True,2015-12-15 06:45:24.199
134,85,False,2015-12-15 06:42:40.574
135,79,True,2015-12-16 22:09:31.490
136,82,False,2015-12-16 22:07:01.089
137,74,True,2015-12-16 15:14:10.381
138,82,False,2015-12-16 15:12:04.781
139,75,True,2015-12-16 15:09:57.275
140,82,False,2015-12-16 15:06:03.381
141,77,True,2015-12-16 13:29:25.180
142,82,False,2015-12-16 13:26:01.277
143,74,True,2015-12-16 10:42:03.579
144,81,False,2015-12-16 10:39:45.084
145,78,True,2015-12-16 10:31:33.093
146,82,False,2015-12-16 10:28:05.399
147,81,True,2015-12-16 08:41:09.678
148,83,False,2015-12-16 08:39:21.183
149,78,True,2015-12-17 22:04:15.587
150,82,False,2015-12-17 22:01:29.886
151,78,True,2015-12-17 19:34:31.683
152,81,False,2015-12-17 19:30:10.078
153,74,True,2015-12-17 16:11:57.500
154,81,False,2015-12-17 16:09:17.494
155,74,True,2015-12-17 15:15:40.491
156,81,False,2015-12-17 15:13:07.793
157,72,True,2015-12-17 14:13:34.399
158,21,True,2015-12-17 14:13:07.398
159,82,False,2015-12-17 14:10:24.995
160,77,True,2015-12-17 09:16:44.395
161,82,False,2015-12-17 09:13:03.788
162,78,True,2015-12-17 07:37:52.296
163,81,False,2015-12-17 07:32:25.299
164,82,True,2015-12-17 05:41:01.895
165,82,False,2015-12-17 05:37:04.801
166,77,True,2015-12-18 14:23:19.590
167,81,False,2015-12-18 14:20:29.186
168,80,True,2015-12-18 12:33:07.781
169,82,False,2015-12-18 12:30:39.989
170,85,True,2015-12-18 09:27:43.784
171,82,False,2015-12-18 09:24:31.184
172,141,False,2015-12-19 10:44:55.978
173,82,True,2015-12-19 10:41:06.577
174,82,False,2015-12-19 10:38:29.480
175,80,True,2015-12-21 18:44:57.985
176,82,False,2015-12-21 18:38:16.980
177,74,True,2015-12-21 17:11:20.774
178,82,False,2015-12-21 17:07:23.285
179,74,True,2015-12-21 16:04:46.186
180,82,False,2015-12-21 16:01:01.596
181,73,True,2015-12-21 12:32:01.384
182,81,False,2015-12-21 12:29:07.691
183,74,True,2015-12-21 12:23:04.791
184,82,False,2015-12-21 12:16:30.775
185,74,True,2015-12-21 11:59:46.394
186,82,False,2015-12-21 11:57:52.997
187,74,True,2015-12-21 11:29:36.388
188,82,False,2015-12-21 11:26:09.292
189,74,True,2015-12-21 10:49:38.883
190,82,False,2015-12-21 10:46:08.582
191,74,True,2015-12-21 10:30:58.800
192,83,False,2015-12-21 10:27:31.997
193,78,True,2015-12-22 17:28:30.178
194,82,False,2015-12-22 17:25:18.976
195,74,True,2015-12-22 12:45:54.875
196,82,False,2015-12-22 12:43:23.880
197,78,True,2015-12-22 10:25:45.497
198,82,False,2015-12-22 10:21:47.497
199,81,True,2015-12-23 18:10:44.396
200,82,False,2015-12-23 18:08:10.281
201,79,True,2015-12-23 12:52:53.284
202,82,False,2015-12-23 12:49:28.895
203,80,True,2015-12-23 08:44:26.101
204,83,False,2015-12-23 08:41:37.699
205,78,True,2015-12-28 15:28:30.285
206,82,False,2015-12-28 15:23:05.481
207,81,True,2015-12-28 13:24:01.486
208,83,False,2015-12-28 13:14:33.295
209,84,True,2015-12-29 10:15:46.094
210,85,False,2015-12-29 10:14:03.677
211,75,True,2015-12-31 13:01:43.286
212,83,False,2015-12-31 12:56:33.780
213,78,True,2015-12-31 10:17:33.392
214,84,False,2015-12-31 10:14:01.802
215,75,True,2015-12-31 06:51:13.397
216,84,False,2015-12-31 06:47:27.496
217,78,True,2016-01-04 11:55:06.187
218,84,False,2016-01-04 11:52:11.380
219,81,True,2016-01-04 08:58:29.880
220,86,False,2016-01-04 08:55:25.783
221,75,True,2016-01-05 17:14:52.881
222,83,False,2016-01-05 17:11:12.782
223,79,True,2016-01-05 16:28:23.696
224,84,False,2016-01-05 16:25:31.492
225,74,True,2016-01-05 09:09:13.287
226,82,False,2016-01-05 09:06:35.285
227,81,True,2016-01-05 08:50:29.575
228,84,False,2016-01-05 08:46:10.382
229,80,True,2016-01-06 18:15:47.693
230,84,False,2016-01-06 18:10:15.495
231,74,True,2016-01-06 14:11:58.788
232,81,False,2016-01-06 14:09:35.094
233,74,True,2016-01-06 14:04:08.395
234,83,False,2016-01-06 14:00:32.880
235,78,True,2016-01-06 13:00:04.586
236,84,False,2016-01-06 12:58:28.883
237,74,True,2016-01-06 11:05:39.301
238,83,False,2016-01-06 11:03:07.197
239,74,True,2016-01-06 10:01:26.181
240,82,False,2016-01-06 09:57:43.385
241,75,True,2016-01-06 09:49:20.495
242,83,False,2016-01-06 09:45:57.896
243,83,True,2016-01-06 09:21:56.877
244,85,False,2016-01-06 09:20:27.389
245,75,True,2016-01-07 17:54:08.280
246,83,False,2016-01-07 17:51:26.375
247,81,True,2016-01-07 17:17:31.074
248,86,False,2016-01-07 17:11:21.681
249,76,True,2016-01-07 13:42:18.780
250,83,False,2016-01-07 13:39:49.795
251,82,True,2016-01-07 13:16:07.297
252,85,False,2016-01-07 13:12:28.984
253,86,True,2016-01-07 10:00:44.485
254,85,False,2016-01-07 09:54:52.792
255,80,True,2016-01-08 23:27:28.279
256,86,False,2016-01-08 23:24:32.885
257,81,True,2016-01-08 21:35:05.880
258,86,False,2016-01-08 21:31:45.980
259,75,True,2016-01-08 19:22:34.479
260,83,False,2016-01-08 19:19:55.683
261,85,True,2016-01-08 19:07:52.086
262,85,False,2016-01-08 19:03:12.487
263,75,True,2016-01-08 12:28:34.390
264,83,False,2016-01-08 12:25:51.577
265,82,True,2016-01-08 11:32:17.800
266,85,False,2016-01-08 11:30:27.292
267,86,True,2016-01-08 08:47:38.683
268,87,False,2016-01-08 08:43:38.482
