Dag;Maand;Jaar;Tijd;Open
04;01;2016;18:18:27.954;TRUE
04;01;2016;18:23:34.565;FALSE
05;01;2016;20:44:20.856;TRUE
05;01;2016;20:49:06.460;FALSE
06;01;2016;01:54:24.677;TRUE
06;01;2016;02:00:33.352;FALSE
06;01;2016;13:43:19.153;TRUE
06;01;2016;13:48:05.547;FALSE
06;01;2016;18:06:35.960;TRUE
06;01;2016;18:11:33.066;FALSE
07;01;2016;02:31:58.552;TRUE
07;01;2016;02:37:04.657;FALSE
07;01;2016;18:14:43.962;TRUE
07;01;2016;18:19:47.072;FALSE
07;01;2016;21:23:55.372;TRUE
07;01;2016;21:27:59.776;FALSE
08;01;2016;02:04:45.576;TRUE
08;01;2016;02:10:22.962;FALSE
08;01;2016;06:26:35.366;TRUE
08;01;2016;06:31:29.850;FALSE
08;01;2016;08:03:30.679;TRUE
08;01;2016;08:09:16.951;FALSE
11;01;2016;14:01:52.471;TRUE
11;01;2016;14:05:19.271;FALSE
12;01;2016;03:30:23.152;TRUE
12;01;2016;03:35:24.864;FALSE
13;01;2016;11:34:48.772;TRUE
13;01;2016;11:36:32.078;FALSE
13;01;2016;19:46:42.247;TRUE
13;01;2016;19:58:13.865;FALSE
13;01;2016;20:17:02.956;TRUE
13;01;2016;20:21:24.250;FALSE
13;01;2016;20:37:45.969;TRUE
13;01;2016;20:45:18.654;FALSE
13;01;2016;22:47:43.276;TRUE
13;01;2016;22:53:18.075;FALSE
14;01;2016;08:40:55.971;TRUE
14;01;2016;10:17:11.965;FALSE
14;01;2016;10:19:39.972;TRUE
14;01;2016;10:23:07.060;FALSE
14;01;2016;21:51:02.982;TRUE
14;01;2016;21:55:16.867;FALSE
15;01;2016;01:26:09.770;TRUE
15;01;2016;01:30:38.660;FALSE
15;01;2016;04:46:58.270;TRUE
15;01;2016;04:51:58.470;FALSE
15;01;2016;18:20:33.874;TRUE
15;01;2016;18:25:09.469;FALSE
15;01;2016;20:02:29.047;TRUE
15;01;2016;20:10:23.559;FALSE
16;01;2016;10:48:56.772;TRUE
16;01;2016;10:53:30.352;FALSE
16;01;2016;11:15:14.751;TRUE
16;01;2016;11:19:06.577;FALSE
17;01;2016;12:52:17.765;TRUE
17;01;2016;12:57:16.771;FALSE
17;01;2016;16:46:31.355;TRUE
17;01;2016;16:50:36.646;FALSE
19;01;2016;00:03:17.862;TRUE
19;01;2016;00:09:09.866;FALSE
19;01;2016;02:07:11.978;TRUE
19;01;2016;02:11:51.854;FALSE
19;01;2016;14:51:13.070;TRUE
19;01;2016;14:56:35.168;FALSE
20;01;2016;02:07:27.952;TRUE
20;01;2016;02:12:41.565;FALSE
21;01;2016;00:33:17.856;TRUE
21;01;2016;00:39:59.757;FALSE
21;01;2016;02:38:36.654;TRUE
21;01;2016;02:46:13.869;FALSE
21;01;2016;10:22:50.468;TRUE
21;01;2016;10:27:41.461;FALSE
22;01;2016;05:18:48.367;TRUE
22;01;2016;05:23:16.972;FALSE
22;01;2016;15:20:35.255;TRUE
22;01;2016;15:25:34.573;FALSE
24;01;2016;01:09:01.671;TRUE
24;01;2016;01:14:04.485;FALSE
24;01;2016;08:02:15.475;TRUE
24;01;2016;08:07:08.469;FALSE
25;01;2016;16:31:02.869;TRUE
25;01;2016;16:37:08.478;FALSE
25;01;2016;19:23:35.954;TRUE
25;01;2016;19:28:24.260;FALSE
25;01;2016;20:32:12.756;TRUE
25;01;2016;20:40:51.453;FALSE
26;01;2016;00:31:55.569;TRUE
26;01;2016;00:37:00.575;FALSE
26;01;2016;13:52:03.873;TRUE
26;01;2016;13:56:28.669;FALSE
26;01;2016;18:57:56.653;TRUE
26;01;2016;19:05:08.671;FALSE
26;01;2016;19:19:31.464;TRUE
26;01;2016;19:22:05.258;FALSE
26;01;2016;19:22:14.554;TRUE
26;01;2016;19:24:59.953;FALSE
26;01;2016;19:36:22.378;TRUE
26;01;2016;19:42:28.747;FALSE
26;01;2016;20:41:39.476;TRUE
26;01;2016;20:47:39.281;FALSE
26;01;2016;22:29:26.367;TRUE
26;01;2016;22:34:41.373;FALSE
27;01;2016;01:27:39.572;TRUE
27;01;2016;01:32:07.951;FALSE
27;01;2016;14:40:16.470;TRUE
27;01;2016;14:45:31.861;FALSE
27;01;2016;15:00:06.869;TRUE
27;01;2016;15:04:13.576;FALSE
27;01;2016;15:07:43.471;TRUE
27;01;2016;15:13:08.154;FALSE
27;01;2016;18:16:07.266;TRUE
27;01;2016;18:21:06.766;FALSE
27;01;2016;22:51:35.758;TRUE
27;01;2016;22:56:10.649;FALSE
27;01;2016;23:27:26.172;TRUE
27;01;2016;23:32:00.574;FALSE
28;01;2016;03:13:51.071;TRUE
28;01;2016;03:19:25.476;FALSE
28;01;2016;19:51:56.372;TRUE
28;01;2016;19:56:03.777;FALSE
28;01;2016;20:57:39.374;TRUE
28;01;2016;21:02:00.359;FALSE
28;01;2016;22:08:44.656;TRUE
28;01;2016;22:13:46.664;FALSE
29;01;2016;02:46:36.072;TRUE
29;01;2016;02:51:14.275;FALSE
29;01;2016;10:26:14.869;TRUE
29;01;2016;10:29:58.365;FALSE
29;01;2016;23:58:56.173;TRUE
30;01;2016;00:03:33.356;FALSE
30;01;2016;04:40:31.676;TRUE
30;01;2016;04:45:53.249;FALSE
30;01;2016;07:04:09.569;TRUE
30;01;2016;07:08:22.869;FALSE
31;01;2016;08:07:54.764;TRUE
31;01;2016;08:12:30.453;FALSE
